form_year,line_number,label,total,related_or_exempt,unrelated_business,excluded_from_tax
2019,1e,Government grants (contributions),4472152,,,
2019,1f,"All other contributions, gifts, grants, and similar amounts",115986112,,,
2019,1g,Noncash contributions included in lines 1a-1f,91962060,,,
2019,1h,Total contributions and grants,120458264,,,
2019,2a,Shared Maintenance Fees,2518729,2518729,,
2019,2b,Program Earned Income,660417,660417,,
2019,2g,Total program service revenue,3179146,,,
2019,3,Investment income,165887,165887,,
2019,11a,Rental and other income,603408,603408,,
2019,11e,Total other revenue,603408,,,
2019,12,Total revenue,124406705,3948441,0,0
2020,1e,Government grants (contributions),11524742,,,
2020,1f,"All other contributions, gifts, grants, and similar amounts",135183639,,,
2020,1g,Noncash contributions included in lines 1a-1f,87075393,,,
2020,1h,Total contributions and grants,146708381,,,
2020,2a,Shared Maintenance Fees,1100245,1100245,,
2020,2b,Program Earned Income,680835,680835,,
2020,2g,Total program service revenue,1781080,,,
2020,3,Investment income,1527379,1527379,,
2020,11a,Rental and other income,698664,698664,,
2020,11e,Total other revenue,698664,,,
2020,12,Total revenue,150715504,4007123,,0
2021,1e,Government grants (contributions),6060559,,,
2021,1f,"All other contributions, gifts, grants, and similar amounts",108079034,,,
2021,1g,Noncash contributions included in lines 1a-1f,83015952,,,
2021,1h,Total contributions and grants,114139593,,,
2021,2a,Shared Maintenance Fees,2243697,2243697,,
2021,2b,Program Earned Income,812534,812534,,
2021,2g,Total program service revenue,3056231,,,
2021,3,Investment income,-2272381,-2272381,,
2021,11a,Rental and other income,247137,247137,,
2021,11e,Total other revenue,247137,,,
2021,12,Total revenue,115170580,1030987,0,
2022,1c,Fundraising events,79327,,,
2022,1e,Government grants (contributions),6675034,,,
2022,1f,"All other contributions, gifts, grants, and similar amounts",108949284,,,
2022,1g,Noncash contributions included in lines 1a-1f,85157621,,,
2022,1h,Total contributions and grants,115703645,,,
2022,2a,Agency Charge Out,3699382,3699382,,
2022,2b,Program Earned Income,850916,850916,,
2022,2g,Total program service revenue,4550298,,,
2022,3,Investment income,1381386,1381386,,
2022,11a,Rental and other income,128659,128659,,
2022,11e,Total other revenue,128659,,,
2022,12,Total revenue,121763988,6060343,,
2023,1c,Fundraising events,87842,,,
2023,1e,Government grants (contributions),6221821,,,
2023,1f,"All other contributions, gifts, grants, and similar amounts",120429685,,,
2023,1g,Noncash contributions included in lines 1a-1f,99879112,,,
2023,1h,Total contributions and grants,126739348,,,
2023,2a,Shared Maintenance Fees,3466879,3466879,,
2023,2b,Program Earned Income,896062,896062,,
2023,2g,Total program service revenue,4362941,,,
2023,3,Investment income,2263725,2263725,,
2023,11a,Rental and other income,268310,268310,,
2023,11e,Total other revenue,268310,,,
2023,12,Total revenue,133634324,6894976,,
